"STATISTIC","Statistic Label","TLIST(Q1)","Quarter","C01921V02511","Type of Construction","UNIT","VALUE"
"BHQ03C1","Planning Permissions Granted","19882","1988Q2","12","Other new construction (excluding dwellings)","Number","1027"
"BHQ03C1","Planning Permissions Granted","19882","1988Q2","2","Extensions","Number","1833"
"BHQ03C1","Planning Permissions Granted","19882","1988Q2","3","Alteration, conversion and renovation","Number","580"
"BHQ03C1","Planning Permissions Granted","19883","1988Q3","-","All types of construction","Number","5896"
"BHQ03C1","Planning Permissions Granted","19883","1988Q3","11","Dwellings","Number","1936"
"BHQ03C1","Planning Permissions Granted","19883","1988Q3","12","Other new construction (excluding dwellings)","Number","1204"
"BHQ03C1","Planning Permissions Granted","19883","1988Q3","2","Extensions","Number","2077"
"BHQ03C1","Planning Permissions Granted","19883","1988Q3","3","Alteration, conversion and renovation","Number","679"
"BHQ03C1","Planning Permissions Granted","19884","1988Q4","-","All types of construction","Number","5207"
"BHQ03C1","Planning Permissions Granted","19884","1988Q4","11","Dwellings","Number","1536"
"BHQ03C1","Planning Permissions Granted","19884","1988Q4","12","Other new construction (excluding dwellings)","Number","1332"
"BHQ03C1","Planning Permissions Granted","19884","1988Q4","2","Extensions","Number","1716"
"BHQ03C1","Planning Permissions Granted","19884","1988Q4","3","Alteration, conversion and renovation","Number","623"
"BHQ03C1","Planning Permissions Granted","19891","1989Q1","-","All types of construction","Number","4804"
"BHQ03C1","Planning Permissions Granted","19891","1989Q1","11","Dwellings","Number","1612"
"BHQ03C1","Planning Permissions Granted","19891","1989Q1","12","Other new construction (excluding dwellings)","Number","1233"
"BHQ03C1","Planning Permissions Granted","19891","1989Q1","2","Extensions","Number","1435"
"BHQ03C1","Planning Permissions Granted","19891","1989Q1","3","Alteration, conversion and renovation","Number","524"
"BHQ03C1","Planning Permissions Granted","19892","1989Q2","-","All types of construction","Number","6357"
"BHQ03C1","Planning Permissions Granted","19892","1989Q2","11","Dwellings","Number","2108"
"BHQ03C1","Planning Permissions Granted","19892","1989Q2","12","Other new construction (excluding dwellings)","Number","1488"
"BHQ03C1","Planning Permissions Granted","19892","1989Q2","2","Extensions","Number","2048"
"BHQ03C1","Planning Permissions Granted","19892","1989Q2","3","Alteration, conversion and renovation","Number","713"
"BHQ03C1","Planning Permissions Granted","19893","1989Q3","-","All types of construction","Number","7624"
